course_plan_code,audience_kind,audience_code,teacher_assignment,teacher_codes,room_policy,room_candidates,preferred_rooms,fallback_rooms
CP-CHINESE,administrative_class,AC01,fixed,T-CHN-01,,,,
CP-MATH,administrative_class,AC01,fixed,T-MATH-01,,,,
CP-ENGLISH,administrative_class,AC01,fixed,T-ENG-01,,,,
CP-PE,administrative_class,AC01,fixed,T-PE-01,,,,
CP-INFO,administrative_class,AC01,fixed,T-INFO-01,,,,
CP-ART,administrative_class,AC01,fixed,T-ART-01,,,,
CP-MUSIC,administrative_class,AC01,fixed,T-MUSIC-01,,,,
CP-LABOR,administrative_class,AC01,fixed,T-LABOR-01,,,,
CP-MEETING,administrative_class,AC01,fixed,T-CHN-01,,,,
CP-CHINESE,administrative_class,AC02,fixed,T-CHN-02,,,,
CP-MATH,administrative_class,AC02,fixed,T-MATH-02,,,,
CP-ENGLISH,administrative_class,AC02,fixed,T-ENG-02,,,,
CP-PE,administrative_class,AC02,fixed,T-PE-02,,,,
CP-INFO,administrative_class,AC02,fixed,T-INFO-02,,,,
CP-ART,administrative_class,AC02,fixed,T-ART-02,,,,
CP-MUSIC,administrative_class,AC02,fixed,T-MUSIC-02,,,,
CP-LABOR,administrative_class,AC02,fixed,T-LABOR-02,,,,
CP-MEETING,administrative_class,AC02,fixed,T-CHN-02,,,,
CP-CHINESE,administrative_class,AC03,fixed,T-CHN-03,,,,
CP-MATH,administrative_class,AC03,fixed,T-MATH-03,,,,
CP-ENGLISH,administrative_class,AC03,fixed,T-ENG-03,,,,
CP-PE,administrative_class,AC03,fixed,T-PE-03,,,,
CP-INFO,administrative_class,AC03,fixed,T-INFO-03,,,,
CP-ART,administrative_class,AC03,fixed,T-ART-03,,,,
CP-MUSIC,administrative_class,AC03,fixed,T-MUSIC-03,,,,
CP-LABOR,administrative_class,AC03,fixed,T-LABOR-03,,,,
CP-MEETING,administrative_class,AC03,fixed,T-CHN-03,,,,
CP-CHINESE,administrative_class,AC04,fixed,T-CHN-04,,,,
CP-MATH,administrative_class,AC04,fixed,T-MATH-04,,,,
CP-ENGLISH,administrative_class,AC04,fixed,T-ENG-04,,,,
CP-PE,administrative_class,AC04,fixed,T-PE-04,,,,
CP-INFO,administrative_class,AC04,fixed,T-INFO-04,,,,
CP-ART,administrative_class,AC04,fixed,T-ART-01,,,,
CP-MUSIC,administrative_class,AC04,fixed,T-MUSIC-01,,,,
CP-LABOR,administrative_class,AC04,fixed,T-LABOR-01,,,,
CP-MEETING,administrative_class,AC04,fixed,T-CHN-04,,,,
CP-CHINESE,administrative_class,AC05,fixed,T-CHN-05,,,,
CP-MATH,administrative_class,AC05,fixed,T-MATH-05,,,,
CP-ENGLISH,administrative_class,AC05,fixed,T-ENG-05,,,,
CP-PE,administrative_class,AC05,fixed,T-PE-05,,,,
CP-INFO,administrative_class,AC05,fixed,T-INFO-05,,,,
CP-ART,administrative_class,AC05,fixed,T-ART-02,,,,
CP-MUSIC,administrative_class,AC05,fixed,T-MUSIC-02,,,,
CP-LABOR,administrative_class,AC05,fixed,T-LABOR-02,,,,
CP-MEETING,administrative_class,AC05,fixed,T-CHN-05,,,,
CP-CHINESE,administrative_class,AC06,fixed,T-CHN-06,,,,
CP-MATH,administrative_class,AC06,fixed,T-MATH-06,,,,
CP-ENGLISH,administrative_class,AC06,fixed,T-ENG-06,,,,
CP-PE,administrative_class,AC06,fixed,T-PE-06,,,,
CP-INFO,administrative_class,AC06,fixed,T-INFO-06,,,,
CP-ART,administrative_class,AC06,fixed,T-ART-03,,,,
CP-MUSIC,administrative_class,AC06,fixed,T-MUSIC-03,,,,
CP-LABOR,administrative_class,AC06,fixed,T-LABOR-03,,,,
CP-MEETING,administrative_class,AC06,fixed,T-CHN-06,,,,
CP-CHINESE,administrative_class,AC07,fixed,T-CHN-07,,,,
CP-MATH,administrative_class,AC07,fixed,T-MATH-07,,,,
CP-ENGLISH,administrative_class,AC07,fixed,T-ENG-07,,,,
