course_plan_code,name,grade_code,subject_code,audience_kind,weekly_periods,meeting_pattern,min_days_between,max_periods_per_day,may_cross_breaks,required_room_features,teacher_assignment,teacher_codes,room_policy,room_candidates,preferred_rooms,fallback_rooms
CP-CHINESE,语文,G12,chinese,administrative_class,5,1;1;1;1;1,1,1,false,multimedia,candidates,T-CHN-01;T-CHN-02;T-CHN-03;T-CHN-04;T-CHN-05;T-CHN-06;T-CHN-07;T-CHN-08;T-CHN-09;T-CHN-10;T-CHN-11;T-CHN-12,admin_home_room,,,
CP-MATH,数学,G12,mathematics,administrative_class,5,1;1;1;1;1,1,1,false,multimedia,candidates,T-MATH-01;T-MATH-02;T-MATH-03;T-MATH-04;T-MATH-05;T-MATH-06;T-MATH-07;T-MATH-08;T-MATH-09;T-MATH-10;T-MATH-11;T-MATH-12,admin_home_room,,,
CP-ENGLISH,英语,G12,english,administrative_class,5,1;1;1;1;1,1,1,false,multimedia,candidates,T-ENG-01;T-ENG-02;T-ENG-03;T-ENG-04;T-ENG-05;T-ENG-06;T-ENG-07;T-ENG-08;T-ENG-09;T-ENG-10;T-ENG-11;T-ENG-12,admin_home_room,,,
CP-PE,体育,G12,physical_education,administrative_class,2,1;1,2,1,false,sports,candidates,T-PE-01;T-PE-02;T-PE-03;T-PE-04;T-PE-05;T-PE-06,flexible,R-GYM-01;R-GYM-02;R-GYM-03,,
CP-INFO,信息技术,G12,information_technology,administrative_class,2,1;1,1,1,false,computer,candidates,T-INFO-01;T-INFO-02;T-INFO-03;T-INFO-04;T-INFO-05;T-INFO-06,flexible,R-COMP-01;R-COMP-02;R-COMP-03,,
CP-ART,美术,G12,art,administrative_class,1,1,0,1,false,art,candidates,T-ART-01;T-ART-02;T-ART-03,flexible,R-ART-01;R-ART-02;R-ART-03,,
CP-MUSIC,音乐,G12,music,administrative_class,1,1,0,1,false,music,candidates,T-MUSIC-01;T-MUSIC-02;T-MUSIC-03,flexible,R-MUSIC-01;R-MUSIC-02;R-MUSIC-03,,
CP-LABOR,劳动,G12,labor,administrative_class,1,1,0,1,false,workshop,candidates,T-LABOR-01;T-LABOR-02;T-LABOR-03,flexible,R-WORK-01;R-WORK-02;R-WORK-03,,
CP-MEETING,班会,G12,class_meeting,administrative_class,1,1,0,1,false,multimedia,candidates,T-CHN-01;T-CHN-02;T-CHN-03;T-CHN-04;T-CHN-05;T-CHN-06;T-CHN-07;T-CHN-08;T-CHN-09;T-CHN-10;T-CHN-11;T-CHN-12,admin_home_room,,,
CP-PHY,物理,G12,physics,teaching_section,5,1;1;1;1;1,1,1,false,physics_lab,candidates,T-PHY-01;T-PHY-02;T-PHY-03;T-PHY-04,,,,
CP-CHEM,化学,G12,chemistry,teaching_section,5,1;1;1;1;1,1,1,false,chemistry_lab,candidates,T-CHEM-01;T-CHEM-02;T-CHEM-03;T-CHEM-04,,,,
CP-BIO,生物,G12,biology,teaching_section,5,1;1;1;1;1,1,1,false,biology_lab,candidates,T-BIO-01;T-BIO-02;T-BIO-03;T-BIO-04,,,,
CP-HIS,历史,G12,history,teaching_section,5,1;1;1;1;1,1,1,false,multimedia,candidates,T-HIS-01;T-HIS-02;T-HIS-03;T-HIS-04,,,,
CP-POL,思想政治,G12,politics,teaching_section,5,1;1;1;1;1,1,1,false,multimedia,candidates,T-POL-01;T-POL-02;T-POL-03;T-POL-04,,,,
CP-GEO,地理,G12,geography,teaching_section,5,1;1;1;1;1,1,1,false,multimedia,candidates,T-GEO-01;T-GEO-02;T-GEO-03;T-GEO-04,,,,
