course_plan_code,audience_kind,audience_code,meeting_ordinal,day,period,duration,room_code,teacher_code
CP-PHY,teaching_section,SEC-PHY-01,1,monday,1,1,R-PHY-01,T-PHY-01
CP-PHY,teaching_section,SEC-PHY-02,1,monday,1,1,R-PHY-02,T-PHY-02
CP-PHY,teaching_section,SEC-PHY-03,1,monday,1,1,R-PHY-03,T-PHY-03
CP-PHY,teaching_section,SEC-PHY-04,1,monday,1,1,R-PHY-04,T-PHY-04
CP-CHEM,teaching_section,SEC-CHEM-01,1,monday,2,1,R-CHEM-01,T-CHEM-01
CP-CHEM,teaching_section,SEC-CHEM-02,1,monday,2,1,R-CHEM-02,T-CHEM-02
CP-CHEM,teaching_section,SEC-CHEM-03,1,monday,2,1,R-CHEM-03,T-CHEM-03
CP-CHEM,teaching_section,SEC-CHEM-04,1,monday,2,1,R-CHEM-04,T-CHEM-04
CP-BIO,teaching_section,SEC-BIO-01,1,monday,3,1,R-BIO-01,T-BIO-01
CP-BIO,teaching_section,SEC-BIO-02,1,monday,3,1,R-BIO-02,T-BIO-02
CP-BIO,teaching_section,SEC-BIO-03,1,monday,3,1,R-BIO-03,T-BIO-03
CP-BIO,teaching_section,SEC-BIO-04,1,monday,3,1,R-BIO-04,T-BIO-04
CP-HIS,teaching_section,SEC-HIS-01,1,monday,1,1,R-HUM-01,T-HIS-01
CP-HIS,teaching_section,SEC-HIS-02,1,monday,1,1,R-HUM-02,T-HIS-02
CP-HIS,teaching_section,SEC-HIS-03,1,monday,1,1,R-HUM-03,T-HIS-03
CP-HIS,teaching_section,SEC-HIS-04,1,monday,1,1,R-HUM-04,T-HIS-04
CP-POL,teaching_section,SEC-POL-01,1,monday,2,1,R-HUM-01,T-POL-01
CP-POL,teaching_section,SEC-POL-02,1,monday,2,1,R-HUM-02,T-POL-02
CP-POL,teaching_section,SEC-POL-03,1,monday,2,1,R-HUM-03,T-POL-03
CP-POL,teaching_section,SEC-POL-04,1,monday,2,1,R-HUM-04,T-POL-04
CP-GEO,teaching_section,SEC-GEO-01,1,monday,3,1,R-HUM-01,T-GEO-01
CP-GEO,teaching_section,SEC-GEO-02,1,monday,3,1,R-HUM-02,T-GEO-02
CP-GEO,teaching_section,SEC-GEO-03,1,monday,3,1,R-HUM-03,T-GEO-03
CP-GEO,teaching_section,SEC-GEO-04,1,monday,3,1,R-HUM-04,T-GEO-04
