room_code,name,building_code,capacity,features
R-HOME-01,高三1班教室,B-TEACH,40,multimedia
R-HOME-02,高三2班教室,B-TEACH,40,multimedia
R-HOME-03,高三3班教室,B-TEACH,40,multimedia
R-HOME-04,高三4班教室,B-TEACH,40,multimedia
R-HOME-05,高三5班教室,B-TEACH,40,multimedia
R-HOME-06,高三6班教室,B-TEACH,40,multimedia
R-HOME-07,高三7班教室,B-TEACH,40,multimedia
R-HOME-08,高三8班教室,B-TEACH,40,multimedia
R-HOME-09,高三9班教室,B-TEACH,40,multimedia
R-HOME-10,高三10班教室,B-TEACH,40,multimedia
R-HOME-11,高三11班教室,B-TEACH,40,multimedia
R-HOME-12,高三12班教室,B-TEACH,40,multimedia
R-PHY-01,物理实验室01,B-SCI,65,physics_lab;multimedia
R-PHY-02,物理实验室02,B-SCI,65,physics_lab;multimedia
R-PHY-03,物理实验室03,B-SCI,65,physics_lab;multimedia
R-PHY-04,物理实验室04,B-SCI,65,physics_lab;multimedia
R-CHEM-01,化学实验室01,B-SCI,65,chemistry_lab;multimedia
R-CHEM-02,化学实验室02,B-SCI,65,chemistry_lab;multimedia
R-CHEM-03,化学实验室03,B-SCI,65,chemistry_lab;multimedia
R-CHEM-04,化学实验室04,B-SCI,65,chemistry_lab;multimedia
R-BIO-01,生物实验室01,B-SCI,65,biology_lab;multimedia
R-BIO-02,生物实验室02,B-SCI,65,biology_lab;multimedia
R-BIO-03,生物实验室03,B-SCI,65,biology_lab;multimedia
R-BIO-04,生物实验室04,B-SCI,65,biology_lab;multimedia
R-HUM-01,人文选科教室01,B-TEACH,65,multimedia
R-HUM-02,人文选科教室02,B-TEACH,65,multimedia
R-HUM-03,人文选科教室03,B-TEACH,65,multimedia
R-HUM-04,人文选科教室04,B-TEACH,65,multimedia
R-GYM-01,体育馆01,B-SPORT,200,sports
R-COMP-01,计算机教室01,B-TECH,45,computer
R-ART-01,美术教室01,B-ART,45,art
R-MUSIC-01,音乐教室01,B-ART,45,music
R-WORK-01,劳动工坊01,B-TECH,45,workshop
R-GYM-02,体育馆02,B-SPORT,200,sports
R-COMP-02,计算机教室02,B-TECH,45,computer
R-ART-02,美术教室02,B-ART,45,art
R-MUSIC-02,音乐教室02,B-ART,45,music
R-WORK-02,劳动工坊02,B-TECH,45,workshop
R-GYM-03,体育馆03,B-SPORT,200,sports
R-COMP-03,计算机教室03,B-TECH,45,computer
R-ART-03,美术教室03,B-ART,45,art
R-MUSIC-03,音乐教室03,B-ART,45,music
R-WORK-03,劳动工坊03,B-TECH,45,workshop
