section_code,student_code
SEC-PHY-01,S0001
SEC-CHEM-01,S0001
SEC-BIO-01,S0001
SEC-PHY-02,S0002
SEC-CHEM-02,S0002
SEC-BIO-02,S0002
SEC-PHY-03,S0003
SEC-CHEM-03,S0003
SEC-BIO-03,S0003
SEC-PHY-04,S0004
SEC-CHEM-04,S0004
SEC-BIO-04,S0004
SEC-PHY-01,S0005
SEC-CHEM-01,S0005
SEC-BIO-01,S0005
SEC-PHY-02,S0006
SEC-CHEM-02,S0006
SEC-BIO-02,S0006
SEC-PHY-03,S0007
SEC-CHEM-03,S0007
SEC-BIO-03,S0007
SEC-PHY-04,S0008
SEC-CHEM-04,S0008
SEC-BIO-04,S0008
SEC-PHY-01,S0009
SEC-CHEM-01,S0009
SEC-BIO-01,S0009
SEC-PHY-02,S0010
SEC-CHEM-02,S0010
SEC-BIO-02,S0010
SEC-PHY-03,S0011
SEC-CHEM-03,S0011
SEC-BIO-03,S0011
SEC-PHY-04,S0012
SEC-CHEM-04,S0012
SEC-BIO-04,S0012
SEC-PHY-01,S0013
SEC-CHEM-01,S0013
SEC-BIO-01,S0013
SEC-PHY-02,S0014
SEC-CHEM-02,S0014
SEC-BIO-02,S0014
SEC-PHY-03,S0015
SEC-CHEM-03,S0015
SEC-BIO-03,S0015
SEC-PHY-04,S0016
SEC-CHEM-04,S0016
SEC-BIO-04,S0016
SEC-PHY-01,S0017
SEC-CHEM-01,S0017
SEC-BIO-01,S0017
SEC-PHY-02,S0018
SEC-CHEM-02,S0018
SEC-BIO-02,S0018
SEC-PHY-03,S0019
SEC-CHEM-03,S0019
SEC-BIO-03,S0019
SEC-PHY-04,S0020
SEC-CHEM-04,S0020
SEC-BIO-04,S0020
SEC-HIS-01,S0021
SEC-POL-01,S0021
SEC-GEO-01,S0021
SEC-HIS-02,S0022
SEC-POL-02,S0022
SEC-GEO-02,S0022
SEC-HIS-03,S0023
SEC-POL-03,S0023
SEC-GEO-03,S0023
SEC-HIS-04,S0024
SEC-POL-04,S0024
SEC-GEO-04,S0024
SEC-HIS-01,S0025
SEC-POL-01,S0025
SEC-GEO-01,S0025
SEC-HIS-02,S0026
SEC-POL-02,S0026
SEC-GEO-02,S0026
SEC-HIS-03,S0027
SEC-POL-03,S0027
SEC-GEO-03,S0027
SEC-HIS-04,S0028
SEC-POL-04,S0028
SEC-GEO-04,S0028
SEC-HIS-01,S0029
SEC-POL-01,S0029
SEC-GEO-01,S0029
SEC-HIS-02,S0030
SEC-POL-02,S0030
SEC-GEO-02,S0030
SEC-HIS-03,S0031
SEC-POL-03,S0031
SEC-GEO-03,S0031
SEC-HIS-04,S0032
SEC-POL-04,S0032
SEC-GEO-04,S0032
SEC-HIS-01,S0033
SEC-POL-01,S0033
SEC-GEO-01,S0033
SEC-HIS-02,S0034
SEC-POL-02,S0034
SEC-GEO-02,S0034
SEC-HIS-03,S0035
SEC-POL-03,S0035
SEC-GEO-03,S0035
SEC-HIS-04,S0036
SEC-POL-04,S0036
SEC-GEO-04,S0036
SEC-HIS-01,S0037
SEC-POL-01,S0037
SEC-GEO-01,S0037
SEC-HIS-02,S0038
SEC-POL-02,S0038
SEC-GEO-02,S0038
SEC-HIS-03,S0039
SEC-POL-03,S0039
SEC-GEO-03,S0039
SEC-HIS-04,S0040
SEC-POL-04,S0040
SEC-GEO-04,S0040
SEC-PHY-01,S0041
SEC-CHEM-01,S0041
SEC-BIO-01,S0041
SEC-PHY-02,S0042
SEC-CHEM-02,S0042
SEC-BIO-02,S0042
SEC-PHY-03,S0043
SEC-CHEM-03,S0043
SEC-BIO-03,S0043
SEC-PHY-04,S0044
SEC-CHEM-04,S0044
SEC-BIO-04,S0044
SEC-PHY-01,S0045
SEC-CHEM-01,S0045
SEC-BIO-01,S0045
SEC-PHY-02,S0046
SEC-CHEM-02,S0046
SEC-BIO-02,S0046
SEC-PHY-03,S0047
SEC-CHEM-03,S0047
SEC-BIO-03,S0047
SEC-PHY-04,S0048
SEC-CHEM-04,S0048
SEC-BIO-04,S0048
SEC-PHY-01,S0049
SEC-CHEM-01,S0049
SEC-BIO-01,S0049
SEC-PHY-02,S0050
SEC-CHEM-02,S0050
SEC-BIO-02,S0050
SEC-PHY-03,S0051
SEC-CHEM-03,S0051
SEC-BIO-03,S0051
SEC-PHY-04,S0052
SEC-CHEM-04,S0052
SEC-BIO-04,S0052
SEC-PHY-01,S0053
SEC-CHEM-01,S0053
SEC-BIO-01,S0053
SEC-PHY-02,S0054
SEC-CHEM-02,S0054
SEC-BIO-02,S0054
SEC-PHY-03,S0055
SEC-CHEM-03,S0055
SEC-BIO-03,S0055
SEC-PHY-04,S0056
SEC-CHEM-04,S0056
SEC-BIO-04,S0056
SEC-PHY-01,S0057
SEC-CHEM-01,S0057
SEC-BIO-01,S0057
SEC-PHY-02,S0058
SEC-CHEM-02,S0058
SEC-BIO-02,S0058
SEC-PHY-03,S0059
SEC-CHEM-03,S0059
SEC-BIO-03,S0059
SEC-PHY-04,S0060
SEC-CHEM-04,S0060
SEC-BIO-04,S0060
SEC-HIS-01,S0061
SEC-POL-01,S0061
SEC-GEO-01,S0061
SEC-HIS-02,S0062
SEC-POL-02,S0062
SEC-GEO-02,S0062
SEC-HIS-03,S0063
SEC-POL-03,S0063
SEC-GEO-03,S0063
SEC-HIS-04,S0064
SEC-POL-04,S0064
SEC-GEO-04,S0064
SEC-HIS-01,S0065
SEC-POL-01,S0065
SEC-GEO-01,S0065
SEC-HIS-02,S0066
SEC-POL-02,S0066
SEC-GEO-02,S0066
SEC-HIS-03,S0067
SEC-POL-03,S0067
SEC-GEO-03,S0067
SEC-HIS-04,S0068
SEC-POL-04,S0068
SEC-GEO-04,S0068
SEC-HIS-01,S0069
SEC-POL-01,S0069
SEC-GEO-01,S0069
SEC-HIS-02,S0070
SEC-POL-02,S0070
SEC-GEO-02,S0070
SEC-HIS-03,S0071
SEC-POL-03,S0071
SEC-GEO-03,S0071
SEC-HIS-04,S0072
SEC-POL-04,S0072
SEC-GEO-04,S0072
SEC-HIS-01,S0073
SEC-POL-01,S0073
SEC-GEO-01,S0073
SEC-HIS-02,S0074
SEC-POL-02,S0074
SEC-GEO-02,S0074
SEC-HIS-03,S0075
SEC-POL-03,S0075
SEC-GEO-03,S0075
SEC-HIS-04,S0076
