student_code,subject_code
S0001,physics
S0001,chemistry
S0001,biology
S0002,physics
S0002,chemistry
S0002,biology
S0003,physics
S0003,chemistry
S0003,biology
S0004,physics
S0004,chemistry
S0004,biology
S0005,physics
S0005,chemistry
S0005,biology
S0006,physics
S0006,chemistry
S0006,biology
S0007,physics
S0007,chemistry
S0007,biology
S0008,physics
S0008,chemistry
S0008,biology
S0009,physics
S0009,chemistry
S0009,biology
S0010,physics
S0010,chemistry
S0010,biology
S0011,physics
S0011,chemistry
S0011,biology
S0012,physics
S0012,chemistry
S0012,biology
S0013,physics
S0013,chemistry
S0013,biology
S0014,physics
S0014,chemistry
S0014,biology
S0015,physics
S0015,chemistry
S0015,biology
S0016,physics
S0016,chemistry
S0016,biology
S0017,physics
S0017,chemistry
S0017,biology
S0018,physics
S0018,chemistry
S0018,biology
S0019,physics
S0019,chemistry
S0019,biology
S0020,physics
S0020,chemistry
S0020,biology
S0021,history
S0021,politics
S0021,geography
S0022,history
S0022,politics
S0022,geography
S0023,history
S0023,politics
S0023,geography
S0024,history
S0024,politics
S0024,geography
S0025,history
S0025,politics
S0025,geography
S0026,history
S0026,politics
S0026,geography
S0027,history
S0027,politics
S0027,geography
S0028,history
S0028,politics
S0028,geography
S0029,history
S0029,politics
S0029,geography
S0030,history
S0030,politics
S0030,geography
S0031,history
S0031,politics
S0031,geography
S0032,history
S0032,politics
S0032,geography
S0033,history
S0033,politics
S0033,geography
S0034,history
S0034,politics
S0034,geography
S0035,history
S0035,politics
S0035,geography
S0036,history
S0036,politics
S0036,geography
S0037,history
S0037,politics
S0037,geography
S0038,history
S0038,politics
S0038,geography
S0039,history
S0039,politics
S0039,geography
S0040,history
S0040,politics
S0040,geography
S0041,physics
S0041,chemistry
S0041,biology
S0042,physics
S0042,chemistry
S0042,biology
S0043,physics
S0043,chemistry
S0043,biology
S0044,physics
S0044,chemistry
S0044,biology
S0045,physics
S0045,chemistry
S0045,biology
S0046,physics
S0046,chemistry
S0046,biology
S0047,physics
S0047,chemistry
S0047,biology
S0048,physics
S0048,chemistry
S0048,biology
S0049,physics
S0049,chemistry
S0049,biology
S0050,physics
S0050,chemistry
S0050,biology
S0051,physics
S0051,chemistry
S0051,biology
S0052,physics
S0052,chemistry
S0052,biology
S0053,physics
S0053,chemistry
S0053,biology
S0054,physics
S0054,chemistry
S0054,biology
S0055,physics
S0055,chemistry
S0055,biology
S0056,physics
S0056,chemistry
S0056,biology
S0057,physics
S0057,chemistry
S0057,biology
S0058,physics
S0058,chemistry
S0058,biology
S0059,physics
S0059,chemistry
S0059,biology
S0060,physics
S0060,chemistry
S0060,biology
S0061,history
S0061,politics
S0061,geography
S0062,history
S0062,politics
S0062,geography
S0063,history
S0063,politics
S0063,geography
S0064,history
S0064,politics
S0064,geography
S0065,history
S0065,politics
S0065,geography
S0066,history
S0066,politics
S0066,geography
S0067,history
S0067,politics
S0067,geography
S0068,history
S0068,politics
S0068,geography
S0069,history
S0069,politics
S0069,geography
S0070,history
S0070,politics
S0070,geography
S0071,history
S0071,politics
S0071,geography
S0072,history
S0072,politics
S0072,geography
S0073,history
S0073,politics
S0073,geography
S0074,history
S0074,politics
S0074,geography
S0075,history
S0075,politics
S0075,geography
S0076,history
S0076,politics
S0076,geography
S0077,history
S0077,politics
S0077,geography
S0078,history
S0078,politics
S0078,geography
S0079,history
S0079,politics
S0079,geography
S0080,history
S0080,politics
S0080,geography
S0081,physics
S0081,chemistry
S0081,biology
S0082,physics
S0082,chemistry
S0082,biology
S0083,physics
S0083,chemistry
S0083,biology
S0084,physics
S0084,chemistry
S0084,biology
S0085,physics
S0085,chemistry
S0085,biology
S0086,physics
S0086,chemistry
S0086,biology
S0087,physics
S0087,chemistry
S0087,biology
S0088,physics
S0088,chemistry
S0088,biology
S0089,physics
S0089,chemistry
S0089,biology
S0090,physics
S0090,chemistry
S0090,biology
S0091,physics
S0091,chemistry
S0091,biology
S0092,physics
S0092,chemistry
S0092,biology
S0093,physics
S0093,chemistry
S0093,biology
S0094,physics
S0094,chemistry
S0094,biology
S0095,physics
S0095,chemistry
S0095,biology
S0096,physics
S0096,chemistry
S0096,biology
S0097,physics
S0097,chemistry
S0097,biology
S0098,physics
S0098,chemistry
S0098,biology
S0099,physics
S0099,chemistry
S0099,biology
S0100,physics
S0100,chemistry
S0100,biology
S0101,history
S0101,politics
S0101,geography
S0102,history
S0102,politics
S0102,geography
S0103,history
S0103,politics
S0103,geography
S0104,history
S0104,politics
S0104,geography
S0105,history
S0105,politics
S0105,geography
S0106,history
S0106,politics
S0106,geography
S0107,history
S0107,politics
S0107,geography
S0108,history
S0108,politics
S0108,geography
S0109,history
S0109,politics
S0109,geography
S0110,history
S0110,politics
S0110,geography
S0111,history
S0111,politics
S0111,geography
S0112,history
S0112,politics
S0112,geography
S0113,history
S0113,politics
S0113,geography
S0114,history
S0114,politics
S0114,geography
S0115,history
S0115,politics
S0115,geography
S0116,history
S0116,politics
S0116,geography
S0117,history
S0117,politics
S0117,geography
S0118,history
S0118,politics
S0118,geography
S0119,history
S0119,politics
S0119,geography
S0120,history
S0120,politics
S0120,geography
S0121,physics
S0121,chemistry
S0121,biology
S0122,physics
S0122,chemistry
S0122,biology
S0123,physics
S0123,chemistry
S0123,biology
S0124,physics
S0124,chemistry
S0124,biology
S0125,physics
S0125,chemistry
S0125,biology
S0126,physics
S0126,chemistry
S0126,biology
S0127,physics
S0127,chemistry
S0127,biology
S0128,physics
S0128,chemistry
S0128,biology
S0129,physics
S0129,chemistry
S0129,biology
S0130,physics
S0130,chemistry
S0130,biology
S0131,physics
S0131,chemistry
S0131,biology
S0132,physics
S0132,chemistry
S0132,biology
S0133,physics
S0133,chemistry
S0133,biology
S0134,physics
S0134,chemistry
S0134,biology
S0135,physics
S0135,chemistry
S0135,biology
S0136,physics
S0136,chemistry
S0136,biology
S0137,physics
S0137,chemistry
S0137,biology
S0138,physics
S0138,chemistry
S0138,biology
S0139,physics
S0139,chemistry
S0139,biology
S0140,physics
S0140,chemistry
S0140,biology
S0141,history
S0141,politics
S0141,geography
S0142,history
S0142,politics
S0142,geography
S0143,history
S0143,politics
S0143,geography
S0144,history
S0144,politics
S0144,geography
S0145,history
S0145,politics
S0145,geography
S0146,history
S0146,politics
S0146,geography
S0147,history
S0147,politics
S0147,geography
S0148,history
S0148,politics
S0148,geography
S0149,history
S0149,politics
S0149,geography
S0150,history
S0150,politics
S0150,geography
S0151,history
S0151,politics
S0151,geography
S0152,history
S0152,politics
S0152,geography
S0153,history
S0153,politics
S0153,geography
S0154,history
S0154,politics
S0154,geography
S0155,history
S0155,politics
S0155,geography
S0156,history
S0156,politics
S0156,geography
S0157,history
S0157,politics
S0157,geography
S0158,history
S0158,politics
S0158,geography
S0159,history
