teacher_code,day,period
T-CHN-01,friday,8
T-CHN-02,friday,8
T-CHN-03,friday,8
T-CHN-04,friday,8
T-CHN-05,friday,8
T-CHN-06,friday,8
T-CHN-07,friday,8
T-CHN-08,friday,8
T-CHN-09,friday,8
T-CHN-10,friday,8
T-CHN-11,friday,8
T-CHN-12,friday,8
T-MATH-01,friday,8
T-MATH-02,friday,8
T-MATH-03,friday,8
T-MATH-04,friday,8
T-MATH-05,friday,8
T-MATH-06,friday,8
T-MATH-07,friday,8
T-MATH-08,friday,8
T-MATH-09,friday,8
T-MATH-10,friday,8
T-MATH-11,friday,8
T-MATH-12,friday,8
T-ENG-01,friday,8
T-ENG-02,friday,8
T-ENG-03,friday,8
T-ENG-04,friday,8
T-ENG-05,friday,8
T-ENG-06,friday,8
T-ENG-07,friday,8
T-ENG-08,friday,8
T-ENG-09,friday,8
T-ENG-10,friday,8
T-ENG-11,friday,8
T-ENG-12,friday,8
T-PHY-01,friday,8
T-PHY-02,friday,8
T-PHY-03,friday,8
T-PHY-04,friday,8
T-CHEM-01,friday,8
T-CHEM-02,friday,8
T-CHEM-03,friday,8
T-CHEM-04,friday,8
T-BIO-01,friday,8
T-BIO-02,friday,8
T-BIO-03,friday,8
T-BIO-04,friday,8
T-HIS-01,friday,8
T-HIS-02,friday,8
T-HIS-03,friday,8
T-HIS-04,friday,8
T-POL-01,friday,8
T-POL-02,friday,8
T-POL-03,friday,8
T-POL-04,friday,8
T-GEO-01,friday,8
T-GEO-02,friday,8
T-GEO-03,friday,8
T-GEO-04,friday,8
T-PE-01,friday,8
T-PE-02,friday,8
T-PE-03,friday,8
T-PE-04,friday,8
T-PE-05,friday,8
T-PE-06,friday,8
T-INFO-01,friday,8
T-INFO-02,friday,8
T-INFO-03,friday,8
T-INFO-04,friday,8
T-INFO-05,friday,8
T-INFO-06,friday,8
T-ART-01,friday,8
T-ART-02,friday,8
T-ART-03,friday,8
T-MUSIC-01,friday,8
T-MUSIC-02,friday,8
T-MUSIC-03,friday,8
T-LABOR-01,friday,8
T-LABOR-02,friday,8
T-LABOR-03,friday,8
