teacher_code,name
T-CHN-01,语文教师01
T-CHN-02,语文教师02
T-CHN-03,语文教师03
T-CHN-04,语文教师04
T-CHN-05,语文教师05
T-CHN-06,语文教师06
T-CHN-07,语文教师07
T-CHN-08,语文教师08
T-CHN-09,语文教师09
T-CHN-10,语文教师10
T-CHN-11,语文教师11
T-CHN-12,语文教师12
T-MATH-01,数学教师01
T-MATH-02,数学教师02
T-MATH-03,数学教师03
T-MATH-04,数学教师04
T-MATH-05,数学教师05
T-MATH-06,数学教师06
T-MATH-07,数学教师07
T-MATH-08,数学教师08
T-MATH-09,数学教师09
T-MATH-10,数学教师10
T-MATH-11,数学教师11
T-MATH-12,数学教师12
T-ENG-01,英语教师01
T-ENG-02,英语教师02
T-ENG-03,英语教师03
T-ENG-04,英语教师04
T-ENG-05,英语教师05
T-ENG-06,英语教师06
T-ENG-07,英语教师07
T-ENG-08,英语教师08
T-ENG-09,英语教师09
T-ENG-10,英语教师10
T-ENG-11,英语教师11
T-ENG-12,英语教师12
T-PHY-01,物理教师01
T-PHY-02,物理教师02
T-PHY-03,物理教师03
T-PHY-04,物理教师04
T-CHEM-01,化学教师01
T-CHEM-02,化学教师02
T-CHEM-03,化学教师03
T-CHEM-04,化学教师04
T-BIO-01,生物教师01
T-BIO-02,生物教师02
T-BIO-03,生物教师03
T-BIO-04,生物教师04
T-HIS-01,历史教师01
T-HIS-02,历史教师02
T-HIS-03,历史教师03
T-HIS-04,历史教师04
T-POL-01,思想政治教师01
T-POL-02,思想政治教师02
T-POL-03,思想政治教师03
T-POL-04,思想政治教师04
T-GEO-01,地理教师01
T-GEO-02,地理教师02
T-GEO-03,地理教师03
T-GEO-04,地理教师04
T-PE-01,体育教师01
T-PE-02,体育教师02
T-PE-03,体育教师03
T-PE-04,体育教师04
T-PE-05,体育教师05
T-PE-06,体育教师06
T-INFO-01,信息技术教师01
T-INFO-02,信息技术教师02
T-INFO-03,信息技术教师03
T-INFO-04,信息技术教师04
T-INFO-05,信息技术教师05
T-INFO-06,信息技术教师06
T-ART-01,美术教师01
T-ART-02,美术教师02
T-ART-03,美术教师03
T-MUSIC-01,音乐教师01
T-MUSIC-02,音乐教师02
T-MUSIC-03,音乐教师03
T-LABOR-01,劳动教师01
T-LABOR-02,劳动教师02
T-LABOR-03,劳动教师03
