section_code,name,grade_code,subject_code,min_size,target_size,max_size,room_policy,room_candidates,preferred_rooms,fallback_rooms,teacher_assignment,teacher_codes
SEC-PHY-01,物理选科01班,G12,physics,55,60,65,section_fixed,R-PHY-01;R-PHY-02,,,fixed,T-PHY-01
SEC-PHY-02,物理选科02班,G12,physics,55,60,65,section_fixed,R-PHY-02;R-PHY-03,,,fixed,T-PHY-02
SEC-PHY-03,物理选科03班,G12,physics,55,60,65,section_fixed,R-PHY-03;R-PHY-04,,,fixed,T-PHY-03
SEC-PHY-04,物理选科04班,G12,physics,55,60,65,section_fixed,R-PHY-04;R-PHY-01,,,fixed,T-PHY-04
SEC-CHEM-01,化学选科01班,G12,chemistry,55,60,65,section_fixed,R-CHEM-01;R-CHEM-02,,,fixed,T-CHEM-01
SEC-CHEM-02,化学选科02班,G12,chemistry,55,60,65,section_fixed,R-CHEM-02;R-CHEM-03,,,fixed,T-CHEM-02
SEC-CHEM-03,化学选科03班,G12,chemistry,55,60,65,section_fixed,R-CHEM-03;R-CHEM-04,,,fixed,T-CHEM-03
SEC-CHEM-04,化学选科04班,G12,chemistry,55,60,65,section_fixed,R-CHEM-04;R-CHEM-01,,,fixed,T-CHEM-04
SEC-BIO-01,生物选科01班,G12,biology,55,60,65,section_fixed,R-BIO-01;R-BIO-02,,,fixed,T-BIO-01
SEC-BIO-02,生物选科02班,G12,biology,55,60,65,section_fixed,R-BIO-02;R-BIO-03,,,fixed,T-BIO-02
SEC-BIO-03,生物选科03班,G12,biology,55,60,65,section_fixed,R-BIO-03;R-BIO-04,,,fixed,T-BIO-03
SEC-BIO-04,生物选科04班,G12,biology,55,60,65,section_fixed,R-BIO-04;R-BIO-01,,,fixed,T-BIO-04
SEC-HIS-01,历史选科01班,G12,history,55,60,65,section_fixed,R-HUM-01;R-HUM-02,,,fixed,T-HIS-01
SEC-HIS-02,历史选科02班,G12,history,55,60,65,section_fixed,R-HUM-02;R-HUM-03,,,fixed,T-HIS-02
SEC-HIS-03,历史选科03班,G12,history,55,60,65,section_fixed,R-HUM-03;R-HUM-04,,,fixed,T-HIS-03
SEC-HIS-04,历史选科04班,G12,history,55,60,65,section_fixed,R-HUM-04;R-HUM-01,,,fixed,T-HIS-04
SEC-POL-01,思想政治选科01班,G12,politics,55,60,65,section_fixed,R-HUM-01;R-HUM-02,,,fixed,T-POL-01
SEC-POL-02,思想政治选科02班,G12,politics,55,60,65,section_fixed,R-HUM-02;R-HUM-03,,,fixed,T-POL-02
SEC-POL-03,思想政治选科03班,G12,politics,55,60,65,section_fixed,R-HUM-03;R-HUM-04,,,fixed,T-POL-03
SEC-POL-04,思想政治选科04班,G12,politics,55,60,65,section_fixed,R-HUM-04;R-HUM-01,,,fixed,T-POL-04
SEC-GEO-01,地理选科01班,G12,geography,55,60,65,section_fixed,R-HUM-01;R-HUM-02,,,fixed,T-GEO-01
SEC-GEO-02,地理选科02班,G12,geography,55,60,65,section_fixed,R-HUM-02;R-HUM-03,,,fixed,T-GEO-02
SEC-GEO-03,地理选科03班,G12,geography,55,60,65,section_fixed,R-HUM-03;R-HUM-04,,,fixed,T-GEO-03
SEC-GEO-04,地理选科04班,G12,geography,55,60,65,section_fixed,R-HUM-04;R-HUM-01,,,fixed,T-GEO-04
