section_code,student_code
SEC-PHY-1,S001
SEC-PHY-1,S002
SEC-PHY-1,S003
SEC-PHY-1,S004
SEC-PHY-1,S005
SEC-PHY-1,S006
SEC-PHY-1,S007
SEC-PHY-1,S008
SEC-PHY-1,S009
SEC-PHY-1,S010
SEC-PHY-1,S011
SEC-PHY-1,S012
SEC-CHEM-1,S001
SEC-CHEM-1,S002
SEC-CHEM-1,S003
SEC-CHEM-1,S010
SEC-CHEM-1,S011
SEC-CHEM-1,S012
SEC-CHEM-1,S013
SEC-CHEM-1,S014
SEC-CHEM-1,S015
SEC-CHEM-1,S016
SEC-CHEM-1,S017
SEC-CHEM-1,S018
SEC-BIO-1,S001
SEC-BIO-1,S002
SEC-BIO-1,S003
SEC-BIO-1,S013
SEC-BIO-1,S014
SEC-BIO-1,S015
SEC-BIO-1,S019
SEC-BIO-1,S020
SEC-BIO-1,S021
SEC-BIO-1,S022
SEC-BIO-1,S023
SEC-BIO-1,S024
SEC-HIS-1,S004
SEC-HIS-1,S005
SEC-HIS-1,S006
SEC-HIS-1,S007
SEC-HIS-1,S008
SEC-HIS-1,S009
SEC-HIS-1,S016
SEC-HIS-1,S017
SEC-HIS-1,S018
SEC-HIS-1,S019
SEC-HIS-1,S020
SEC-HIS-1,S021
SEC-POL-1,S007
SEC-POL-1,S008
SEC-POL-1,S009
SEC-POL-1,S010
SEC-POL-1,S011
SEC-POL-1,S012
SEC-POL-1,S019
SEC-POL-1,S020
SEC-POL-1,S021
SEC-POL-1,S022
SEC-POL-1,S023
SEC-POL-1,S024
SEC-GEO-1,S004
SEC-GEO-1,S005
SEC-GEO-1,S006
SEC-GEO-1,S013
SEC-GEO-1,S014
SEC-GEO-1,S015
SEC-GEO-1,S016
SEC-GEO-1,S017
SEC-GEO-1,S018
SEC-GEO-1,S022
SEC-GEO-1,S023
SEC-GEO-1,S024
