student_code,subject_code
S001,physics
S001,chemistry
S001,biology
S002,physics
S002,chemistry
S002,biology
S003,physics
S003,chemistry
S003,biology
S004,physics
S004,history
S004,geography
S005,physics
S005,history
S005,geography
S006,physics
S006,history
S006,geography
S007,physics
S007,politics
S007,history
S008,physics
S008,politics
S008,history
S009,physics
S009,politics
S009,history
S010,physics
S010,chemistry
S010,politics
S011,physics
S011,chemistry
S011,politics
S012,physics
S012,chemistry
S012,politics
S013,chemistry
S013,biology
S013,geography
S014,chemistry
S014,biology
S014,geography
S015,chemistry
S015,biology
S015,geography
S016,chemistry
S016,history
S016,geography
S017,chemistry
S017,history
S017,geography
S018,chemistry
S018,history
S018,geography
S019,biology
S019,history
S019,politics
S020,biology
S020,history
S020,politics
S021,biology
S021,history
S021,politics
S022,biology
S022,geography
S022,politics
S023,biology
S023,geography
S023,politics
S024,biology
S024,geography
S024,politics
